#{"t_start": 1646238557.6843512, "env_id": null}
r,l,t
-111,111,11.51187
-599,200,11.542141
-187,187,11.567539
-599,200,11.592604
-599,200,11.617507
-599,200,11.643356
-129,129,11.665163
-599,200,11.690199
-184,184,11.714108
-134,134,11.731906
-191,191,11.756803
-599,200,11.782982
-599,200,11.817791
-599,200,11.845308
-599,200,11.870809
-599,200,11.896839
-599,200,11.922821
-85,85,11.939377
-599,200,11.965315
-600,201,11.990863
-599,200,12.016478
-599,200,12.043226
-599,200,12.074004
-144,144,12.093267
-599,200,12.11969
-599,200,12.145821
-182,182,12.169742
-599,200,12.195854
-599,200,12.227249
-599,200,12.252876
-599,200,12.27859
-101,101,12.292934
-155,155,12.314272
-599,200,12.345542
-600,201,12.371888
-599,200,12.397274
-163,163,12.418768
-599,200,12.444443
-599,200,12.474582
-81,81,12.486092
-599,200,12.511484
-96,96,12.525128
-98,98,12.539219
-163,163,12.561129
-599,200,12.587743
-175,175,12.615538
-599,200,12.640523
-599,200,12.66555
-599,200,12.69127
-599,200,12.716824
-599,200,12.748119
-123,123,12.765128
-599,200,12.791424
-599,200,12.817357
-599,200,12.842256
-92,92,12.85504
-155,155,12.880042
-599,200,12.906356
-176,176,12.929587
-140,140,12.948469
-599,200,12.974586
-195,195,13.000506
-136,136,13.024588
-599,200,13.051111
-181,181,13.074989
-193,193,13.100501
-601,202,13.125835
-599,200,13.155392
-599,200,13.181338
-599,200,13.20703
-599,200,13.232684
-599,200,13.258803
-86,86,13.271927
-599,200,13.303036
-191,191,13.328379
-599,200,13.353635
-131,131,13.371362
-84,84,13.383163
-599,200,13.408471
-65,65,13.417963
-197,197,13.448238
-174,174,13.471676
-150,150,13.492593
-599,200,13.519001
-599,200,13.544259
-599,200,13.673773
-600,201,13.892703
-599,200,14.110786
-93,93,14.212081
-176,176,14.403064
-599,200,14.620023
-599,200,14.850397
-189,189,15.051366
-599,200,15.275341
-129,129,15.426066
-199,200,15.648843
-599,200,15.866071
-599,200,16.083544
-599,200,16.299812
-599,200,16.518456
-599,200,16.730073
-599,200,16.956471
-105,105,17.073573
-599,200,17.28831
-599,200,17.503227
-125,125,17.637313
-134,134,17.776619
-599,200,18.001219
-599,200,18.213909
-120,120,18.342278
-600,201,18.560332
-599,200,18.785161
-599,200,18.999793
-599,200,19.220028
-599,200,19.435092
-150,150,19.597542
-599,200,19.813599
-599,200,20.03416
-102,102,20.153398
-599,200,20.371813
-133,133,20.516305
-599,200,20.746438
-599,200,20.964722
-599,200,21.186054
-599,200,21.412505
-599,200,21.628865
-599,200,21.851266
-95,95,21.957145
-130,130,22.098659
-119,119,22.232595
-599,200,22.456845
-111,111,22.591924
-75,75,22.671926
-599,200,22.887962
-599,200,23.105783
-141,141,23.262579
-599,200,23.479749
-55,55,23.53878
-112,112,23.661631
-175,175,23.855837
-599,200,24.070795
-599,200,24.301975
-599,200,24.51753
-599,200,24.741871
-193,193,24.950473
-130,130,25.09482
-599,200,25.31038
-599,200,25.530741
-152,152,25.702819
-598,200,25.919048
-599,200,26.13599
-599,200,26.369623
-139,139,26.522249
-599,200,26.743607
-127,127,26.88747
-600,201,27.106945
-599,200,27.330245
-599,200,27.547935
-599,200,27.767044
-599,200,27.999282
-599,200,28.222627
-599,200,28.459797
-599,200,28.681471
-599,200,28.900367
-599,200,29.124545
-599,200,29.346928
-190,190,29.559147
-108,108,29.677456
-136,136,29.83145
-599,200,30.053578
-599,200,30.280525
-599,200,30.513337
-132,132,30.658668
-125,125,30.796072
-599,200,31.020954
-599,200,31.250134
-153,153,31.42462
-599,200,31.646288
-66,66,31.716924
-599,200,31.935065
-599,200,32.156621
-599,200,32.396318
-171,171,32.587848
-599,200,32.80705
-599,200,33.030936
-599,200,33.252024
-599,200,33.471036
-599,200,33.698495
-598,200,33.919572
-599,200,34.141112
-599,200,34.364813
-599,200,34.599046
-77,77,34.69042
-599,200,34.909239
-84,84,35.003555
-599,200,35.228699
-599,200,35.453344
-599,200,35.676498
-599,200,35.911031
-190,190,36.126115
-599,200,36.350748
-157,157,36.5343
-600,201,36.757168
-599,200,36.98441
-599,200,37.210407
-599,200,37.431476
-130,130,37.577782
-103,103,37.693612
-599,200,37.921254
-599,200,38.146499
-599,200,38.371386
-599,200,38.597281
-599,200,38.823052
-599,200,39.045157
-599,200,39.27669
-599,200,39.500447
-177,177,39.699078
-599,200,39.927088
-599,200,40.153943
-600,201,40.384454
-599,200,40.610095
-599,200,40.839767
-599,200,41.062878
-599,200,41.288152
-599,200,41.513919
-135,135,41.667192
-599,200,41.893354
-161,161,42.072595
-599,200,42.298847
-199,199,42.532559
-599,200,42.755479
-599,200,42.994659
-201,201,43.220512
-123,123,43.359628
-101,101,43.473136
-599,200,43.699837
-599,200,43.931017
-599,200,44.155032
-170,170,44.343106
-599,200,44.567456
-599,200,44.799703
-141,141,44.973678
-599,200,45.193702
-599,200,45.41801
-599,200,45.645009
-599,200,45.870121
-599,200,46.102185
-599,200,46.334138
-164,164,46.519991
-599,200,46.744071
-599,200,46.969043
-599,200,47.207179
-599,200,47.435582
-114,114,47.565596
-599,200,47.792573
-599,200,48.023774
-599,200,48.253093
-599,200,48.477831
-599,200,48.704676
-97,97,48.814801
-599,200,49.042961
-178,178,49.258621
-599,200,49.492987
-599,200,49.718665
-599,200,49.941256
-599,200,50.170697
-599,200,50.398205
-599,200,50.633342
-599,200,50.86308
-75,75,50.950875
-599,200,51.198143
-599,200,51.434353
-599,200,51.657671
-599,200,51.892938
-106,106,52.011359
-144,144,52.175644
-599,200,52.425117
-182,182,52.650671
-599,200,52.916798
-134,134,53.079622
-180,180,53.304934
-600,201,53.570207
-599,200,53.835189
-70,70,53.927609
-138,138,54.116194
-106,106,54.260236
-599,200,54.506492
-599,200,54.758419
-599,200,55.011647
-89,89,55.128601
-599,200,55.392192
-599,200,55.64889
-599,200,55.884755
-599,200,56.122931
-197,197,56.360819
-599,200,56.597641
-599,200,56.846646
-600,201,57.091304
-192,192,57.321236
-181,181,57.53421
-599,200,57.77896
-599,200,58.029876
-600,201,58.273035
-599,200,58.511235
-189,189,58.743816
-599,200,58.992394
-169,169,59.217791
-599,200,59.453747
-599,200,59.69243
-599,200,59.930089
-599,200,60.165688
-599,200,60.411446
-146,146,60.58699
-599,200,60.826206
-599,200,61.067588
-599,200,61.332101
-599,200,61.646959
-599,200,61.901845
-599,200,62.15924
-599,200,62.407323
-131,131,62.573217
-599,200,62.848614
-599,200,63.108056
-599,200,63.364472
-599,200,63.615651
-599,200,63.870701
-153,153,64.071796
-599,200,64.340086
-145,145,64.534085
-599,200,64.786721
-187,187,65.015117
-599,200,65.279233
-599,200,65.571299
-599,200,65.821378
-599,200,66.072945
-599,200,66.316537
-199,199,66.556843
-599,200,66.801286
-599,200,67.053125
-180,180,67.280377
-599,200,67.535087
-599,200,67.791239
-599,200,68.041497
-148,148,68.237063
-599,200,68.486413
-599,200,68.73772
-599,200,68.988152
-599,200,69.243058
-165,165,69.455096
-599,200,69.708965
