#{"t_start": 1648051044.8506536, "env_id": null}
r,l,t
-7,7,3.183037
-92,92,3.18752
-48,48,3.190134
-187,187,3.19904
-6,6,3.199548
-40,40,3.201666
-3,3,3.201973
-167,167,3.210072
-100,100,3.217113
-20,20,3.218272
-27,27,3.219737
-137,137,3.227855
-599,200,3.237571
-28,28,3.239091
-51,51,3.241718
-8,8,3.24229
-6,6,3.242766
-64,64,3.245917
-14,14,3.246764
-9,9,3.247394
-6,6,3.24787
-89,89,3.252386
-10,10,3.253182
-15,15,3.25407
-36,36,3.255996
-39,39,3.258032
-13,13,3.258837
-56,56,3.261756
-87,87,3.266042
-7,7,3.266577
-144,144,3.278719
-197,197,3.28826
-3,3,3.288749
-64,64,3.291963
-85,85,3.296269
-32,32,3.298039
-127,127,3.304241
-33,33,3.306416
-8,8,3.306997
-55,55,3.309977
-9,9,3.310631
-22,22,3.31185
-28,28,3.31352
-20,20,3.314657
-41,41,3.316823
-59,59,3.319775
-60,60,3.322865
-37,37,3.327733
-9,9,3.328357
-27,27,3.329858
-17,17,3.330895
-2,2,3.331156
-18,18,3.332331
-86,86,3.33657
-37,37,3.338626
-3,3,3.338966
-63,63,3.342242
-94,94,3.346953
-599,200,3.356395
-14,14,3.357306
-183,183,3.366069
-86,86,3.370377
-25,25,3.371909
-4,4,3.372264
-33,33,3.374044
-20,20,3.3752
-64,64,3.378431
-41,41,3.38272
-9,9,3.38343
-21,21,3.384644
-14,14,3.385501
-18,18,3.386517
-22,22,3.387968
-2,2,3.388242
-599,200,3.397978
-33,33,3.399735
-23,23,3.401069
-136,136,3.407931
-7,7,3.408479
-24,24,3.409785
-31,31,3.411551
-8,8,3.412117
-60,60,3.415301
-599,200,3.424885
-142,142,3.432079
-79,79,3.437994
-7,7,3.438556
-27,27,3.440043
-43,43,3.442326
-599,200,3.45191
-36,36,3.453766
-13,13,3.454604
-51,51,3.457325
-3,3,3.45764
-96,96,3.462603
-28,28,3.464078
-40,40,3.466159
-125,125,3.472255
-31,31,3.473918
-124,124,3.479903
-48,48,3.482398
-10,10,3.483046
-63,63,3.488386
-3,3,3.488734
-6,6,3.489182
-28,28,3.490828
-108,108,3.496114
-3,3,3.496427
-69,69,3.499888
-55,55,3.502666
-70,70,3.506145
-160,160,3.513837
-36,36,3.515813
-39,39,3.51784
-21,21,3.519033
-599,200,3.52869
-47,47,3.531134
-3,3,3.531445
-8,8,3.532003
-24,24,3.533335
-107,107,3.538482
-26,26,3.541901
-37,37,3.543981
-12,12,3.544744
-26,26,3.546143
-24,24,3.54749
-44,44,3.549736
-19,19,3.550871
-37,37,3.552973
-13,13,3.553774
-10,10,3.554433
-38,38,3.556414
-86,86,3.560777
-46,46,3.563195
-151,151,3.570369
-26,26,3.571826
-56,56,3.574628
-5,5,3.57506
-16,16,3.575981
-22,22,3.577234
-599,200,3.586866
-46,46,3.589249
-25,25,3.590761
-28,28,3.592291
-145,145,3.601259
-18,18,3.602311
-14,14,3.603127
-26,26,3.604575
-18,18,3.605637
-116,116,3.611196
-18,18,3.612309
-16,16,3.6134
-7,7,3.614038
-13,13,3.614892
-139,139,3.621675
-8,8,3.622241
-110,110,3.627636
-14,14,3.628514
-71,71,3.631986
-7,7,3.632512
-6,6,3.632946
-40,40,3.635003
-15,15,3.636037
-599,200,3.645668
-599,200,3.657189
-17,17,3.658184
-41,41,3.660314
-15,15,3.661306
-8,8,3.661882
-67,67,3.665166
-46,46,3.667572
-4,4,3.667924
-6,6,3.668532
-17,17,3.669533
-27,27,3.671031
-17,17,3.672071
-7,7,3.672602
-11,11,3.673356
-114,114,3.679052
-44,44,3.681356
-24,24,3.682681
-37,37,3.684709
-31,31,3.686613
-62,62,3.689724
-97,97,3.694615
-95,95,3.69924
-4,4,3.69963
-8,8,3.700204
-599,200,3.712147
-36,36,3.71405
-104,104,3.719168
-19,19,3.720256
-91,91,3.724928
-9,9,3.725506
-599,200,3.73506
-59,59,3.738174
-599,200,3.74771
-32,32,3.74948
-9,9,3.750061
-24,24,3.751408
-599,200,3.762971
-55,55,3.765804
-140,140,3.772799
-67,67,3.776162
-23,23,3.777522
-23,23,3.778995
-16,16,3.779923
-163,163,3.787768
-11,11,3.788484
-62,62,3.791611
-18,18,3.79264
-16,16,3.79357
-24,24,3.795123
-53,53,3.797961
-14,14,3.798812
-31,31,3.800484
-49,49,3.803
-94,94,3.809671
-56,56,3.812575
-63,63,3.815775
-137,137,3.822399
-11,11,3.823162
-20,20,3.824512
-29,29,3.826174
-11,11,3.826892
-15,15,3.827827
-21,21,3.828993
-5,5,3.82944
-67,67,3.832792
-3,3,3.833129
-37,37,3.835063
-3,3,3.835411
-52,52,3.838164
-3,3,3.838466
-41,41,3.840601
-46,46,3.842957
-186,186,3.851845
-28,28,3.853367
-69,69,3.856976
-64,64,3.860216
-29,29,3.864838
-9,9,3.86547
-134,134,3.872154
-12,12,3.872911
-123,123,3.878853
-34,34,3.880724
-5,5,3.881126
-88,88,3.885476
-599,200,3.895262
-3,3,3.895589
-23,23,3.896844
-66,66,3.900162
-29,29,3.901869
-67,67,3.905174
-26,26,3.906576
-82,82,3.910659
-138,138,3.919602
-599,200,3.929329
-137,137,3.936137
-22,22,3.937361
-69,69,3.940836
-19,19,3.941909
-22,22,3.943392
-195,195,3.953042
-10,10,3.953722
-9,9,3.954339
-47,47,3.956727
-5,5,3.957168
-68,68,3.960583
-5,5,3.960983
-28,28,3.9627
-40,40,3.964828
-50,50,3.967547
-6,6,3.967982
-183,183,3.979215
-4,4,3.97962
-2,2,3.979881
-11,11,3.980596
-27,27,3.982067
-7,7,3.982632
-6,6,3.983151
-52,52,3.985842
-2,2,3.98623
-41,41,3.988443
-44,44,3.99074
-24,24,3.992058
-135,135,3.998773
-74,74,4.002512
-19,19,4.003719
-103,103,4.00879
-185,185,4.017924
-139,139,4.026931
-41,41,4.029272
-56,56,4.032111
-67,67,4.035611
-49,49,4.03812
-29,29,4.039698
-145,145,4.046981
-29,29,4.048613
-14,14,4.049458
-17,17,4.05046
-3,3,4.050764
-39,39,4.052948
-4,4,4.053431
-13,13,4.054235
-21,21,4.055412
-3,3,4.055708
-42,42,4.057939
-26,26,4.059364
-44,44,4.06161
-34,34,4.063527
-6,6,4.06398
-55,55,4.066896
-87,87,4.071279
-5,5,4.071727
-41,41,4.074086
-12,12,4.074818
-18,18,4.075876
-29,29,4.077435
-4,4,4.077831
-30,30,4.081585
-102,102,4.086703
-92,92,4.091372
-87,87,4.095848
-134,134,4.102435
-60,60,4.105718
-47,47,4.108139
-22,22,4.109372
-44,44,4.111689
-83,83,4.115944
-92,92,4.120448
-15,15,4.12132
-65,65,4.124795
-9,9,4.125446
-6,6,4.125885
-12,12,4.12666
-28,28,4.128162
-10,10,4.12882
-10,10,4.129482
-98,98,4.136647
-6,6,4.137174
-14,14,4.138026
-41,41,4.140266
-599,200,4.149833
-25,25,4.151256
-7,7,4.151753
-97,97,4.156493
-75,75,4.16028
-8,8,4.160831
-2,2,4.161125
-21,21,4.16229
-29,29,4.16396
-13,13,4.164914
-14,14,4.165762
-6,6,4.166236
-19,19,4.167324
-82,82,4.171372
-28,28,4.172905
-23,23,4.174176
-94,94,4.178868
-28,28,4.180355
-599,200,4.1968
-2,2,4.197299
-11,11,4.198031
-50,50,4.200588
-81,81,4.204599
-102,102,4.209587
-4,4,4.209945
-21,21,4.211197
-29,29,4.212824
-2,2,4.213117
-25,25,4.214591
-33,33,4.216469
-37,37,4.218438
-10,10,4.219094
-63,63,4.222244
-39,39,4.224389
-599,200,4.234053
-14,14,4.23494
-64,64,4.238112
-599,200,4.24983
-45,45,4.252238
-116,116,4.258246
-37,37,4.260233
-27,27,4.261867
-20,20,4.26302
-24,24,4.264394
-44,44,4.266614
-7,7,4.26715
-99,99,4.272013
-4,4,4.272368
-8,8,4.272962
-33,33,4.274864
-34,34,4.276669
-139,139,4.283401
-41,41,4.285634
-6,6,4.286068
-17,17,4.28719
